# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0
1.33 0 0 0
1.35 0 0 0
1.37 0 0 0
1.39 0 0 0
1.41 0 0 0
1.43 0 0 0
1.45 0 0 0
1.47 0 0 0
1.49 0 0 0
1.51 0 0 0
1.53 0 0 0
1.55 0 0 0
1.57 0 0 0
1.59 0 0 0
1.61 0 0 0
1.63 0 0 0
1.65 0 0 0
1.67 0 0 0
1.69 0 0 0
1.71 0 0 0
1.73 0 0 0
1.75 0 0 0
1.77 0 0 0
1.79 0 0 0
1.81 0 0 0
1.83 0 0 0
1.85 0 0 0
1.87 0 0 0
1.89 0 0 0
1.91 0 0 0
1.93 0 0 0
1.95 0 0 0
1.97 0 0 0
1.99 0 0 0
2.01 0 0 0
2.03 0 0 0
2.05 0 0 0
2.07 0.0595385 0.119607 0.100341
2.09 1.43971 1.2155 1.14419
2.11 1.48933 1.26913 1.52844
2.13 0.917852 1.01938 0.930205
2.15 0.882784 0.81488 0.931328
2.17 0.776203 0.854626 0.822869
2.19 0.584687 0.517042 0.592688
2.21 0.609237 0.789173 0.811052
2.23 0.563749 0.68897 0.640912
2.25 0.705175 0.710294 0.76526
2.27 0.775141 0.631475 0.60162
2.29 0.713029 1.061 0.919681
2.31 0.828353 0.786 0.968492
2.33 1.01789 0.915072 0.792497
2.35 1.01595 1.05448 1.09195
2.37 1.31634 1.53923 1.01147
2.39 1.45796 1.18393 1.3117
